indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,959,2016,total,11.6,10125,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,977,2016,total,9.9,12045,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,956,2016,total,5.0,810,956,Ahvenanmaa,Åland
683,972,2016,total,12.3,11859,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county
683,960,2016,total,8.0,24212,960,Helsingin kaupunki,City of Helsinki
683,966,2016,total,10.0,10107,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,978,2016,total,9.9,25441,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county
683,973,2016,total,10.8,21344,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,961,2016,total,9.5,5148,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county
683,976,2016,total,10.7,13814,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,958,2016,total,12.7,13846,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,965,2016,total,11.1,16149,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
683,962,2016,total,12.0,5392,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,968,2016,total,11.4,11721,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,963,2016,total,10.9,10778,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,957,2016,total,10.2,7916,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,975,2016,total,9.7,11750,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,969,2016,total,8.5,19456,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,970,2016,total,11.0,29096,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,964,2016,total,10.3,3699,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
